show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
80994420,Movie,Sarvopari Palakkaran,Venugopan,"Anoop Menon, Alencier Ley Lopez, Balu Varghese, Aparna Balamurali, Anu Sithara, Gayathri Arun, Nandu, Chali Pala",India,"July 1, 2018",2017,TV-14,133 min,"Dramas, International Movies","In the course of a human trafficking investigation, a conservative cop crosses paths with an artist-activist in a clash of worldviews."
70205125,Movie,Secret,Jay Chou,"Jay Chou, Lun-Mei Kwai, Anthony Wong Chau-Sang, Kai-xuan Tseng, Devon Song, Jun Lang Huang, Zhan Yuhao","Hong Kong, Taiwan","July 1, 2018",2007,TV-PG,101 min,"Dramas, International Movies, Romantic Movies","Enchanted by a pretty pianist and the haunting melody she plays, a musical prodigy falls in love. But a secret soon threatens to derail their romance."
70034610,Movie,Socha Na Tha,Imtiaz Ali,"Abhay Deol, Ayesha Takia, Apoorva Jha, Ayesha Jhulka, Rati Agnihotri, Sandhya Mridul, Suresh Oberoi, Manish Chaudhary",India,"July 1, 2018",2005,TV-PG,137 min,"Comedies, International Movies, Romantic Movies","An arranged marriage becomes a friendship for Viren and Aditi, who aren't in love – until they begin having unexpected feelings for each other."
80992111,Movie,Soul Robbers,Juan Antonio de la Riva,"Sofía Sisniega, Natasha Dupeyron, Ana Sofía Durán, Javier Escobar, Luis Gatica, Juan Ángel Esparza, Jorge Luis Moreno, Arnulfo Reyes Sanchez, Tizoc Arroyo, José Enot, Ricardo Dalmacci, Harding Junior, Claudine Sosa, Pablo Valentín",Mexico,"July 1, 2018",2015,TV-MA,88 min,"Horror Movies, International Movies","During Mexico's War of Independence, a group of men face unimaginable horrors when they attempt to steal from the seemingly helpless Cordero sisters."
80222256,Movie,The Feels,Jenée LaMarque,"Jenée LaMarque, Angela Trimbur, Constance Wu, Josh Fadem, Ever Mainard",United States,"July 1, 2018",2018,TV-MA,88 min,"Comedies, Independent Movies, LGBTQ Movies","During their bachelorette weekend, a lesbian couple's relationship hits a snag when one of the brides confesses to never having an orgasm."
80206917,Movie,The Music of Silence,Michael Radford,"Toby Sebastian, Luisa Ranieri, Jordi Mollà, Antonio Banderas, Ennio Fantastichini, Nadir Caselli, Alessandro Sperduti, Francesco Salvi",Italy,"July 1, 2018",2017,TV-PG,115 min,"Dramas, International Movies, Music & Musicals","Based on the autobiography by tenor Andrea Bocelli, this musical biopic chronicles his life from his bumpy childhood to his meteoric rise to fame."
80176064,Movie,The Redeemed and the Dominant: Fittest on Earth,"Heber Cannon, Mariah Moore, Marston Sawyers",,United States,"July 1, 2018",2017,TV-14,120 min,"Documentaries, Sports Movies","Questions about endurance, doping and overall toughness surround a group of elite athletes as they compete fiercely at the Reebok Crossfit Games."
80994421,Movie,Theeram,Saheed Arafath,"Pranav Ratheesh, Maria Yohannan, Askar Ameer, Tini Tom, Anjali Nair, Krishna Prabha, Sudhi Koppa, Nandhan Unni",India,"July 1, 2018",2017,TV-14,104 min,"Dramas, International Movies, Romantic Movies","An auto rickshaw driver harbors a deep affection for a young woman, but his troubled past threatens to stand between them."
70098332,Movie,Traitor,Jeffrey Nachmanoff,"Don Cheadle, Guy Pearce, Saïd Taghmaoui, Neal McDonough, Alyy Khan, Archie Panjabi, Raad Rawi, Jeff Daniels, Lorena Gale, Simon Reynolds, Jonathan Walker, Mozhan Marnò, Tom Barnett, Scali Delpeyrat",United States,"July 1, 2018",2008,PG-13,114 min,"Dramas, Thrillers",An FBI agent assigned to pursue an ex-Special Ops soldier who joined a terrorist organization begins to question his target's true intentions.
80236280,Movie,Tum Milo Toh Sahi,Kabir Sadanand,"Nana Patekar, Dimple Kapadia, Sunil Shetty, Vidya Malvade, Rehan Khan, Anjana Sukhani, Mohnish Bahl, Vrajesh Hirjee",India,"July 1, 2018",2010,TV-PG,128 min,"Comedies, Dramas, International Movies",An astute but old-fashioned law clerk steps up to help the owner of a cafe in a legal battle that has both business and personal ramifications.
80994572,Movie,Viswasapoorvam Mansoor,P.T. Kunju Muhammad,"Roshan Mathew, Asha Sarath, Prayaga Martin, Zarina Wahab, Renji Panicker, Leona Lishoy, Santhosh Keezhattoor, Sunil Sukhada",India,"July 1, 2018",2017,TV-14,125 min,"Dramas, International Movies","When a mother and her daughter arrive to stay in his home in Kerala, a young Muslim man becomes torn between love, faith and clashing political views."
80217135,Movie,"We, the Marines",Greg MacGillivray,,United States,"July 1, 2018",2017,TV-PG,38 min,"Documentaries, International Movies","Narrated by actor and former Marine Gene Hackman, this documentary showcases the experience of becoming a member of the US Marine Corps."
80996349,Movie,What a Wonderful Family!,Huang Lei,"Huang Lei, Sun Li, Lee Li-Chun, Zhang Weixin, Hai Qing, Wang Xun, Wei Daxun, Lorene Ren, Lei Huang",China,"July 1, 2018",2017,TV-PG,102 min,"Comedies, Dramas, International Movies","In a large family living under one roof, a storm brews when the matriarch requests a divorce from her husband on their 50th anniversary."
80217120,Movie,What We Started,"Bert Marcus, Cyrus Saidi",,United States,"July 1, 2018",2017,TV-MA,96 min,"Documentaries, Music & Musicals","DJs and industry insiders offer a backstage pass to the world of electronic dance music, reflecting on its radical origins and the future of the genre."
80993648,Movie,Zoo,Shlok Sharma,"Shashank Arora, Shweta Tripathi, Rahul Kumar, Gopal K. Singh, Yogesh Kurme, Prince Daniel",India,"July 1, 2018",2018,TV-MA,94 min,"Dramas, Independent Movies, International Movies","A drug dealer starts having doubts about his trade as his brother, his client, and two rappers from the slums each battle their own secret addictions."
70306701,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",United States,"July 1, 2017",2014,TV-PG,89 min,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream."
80178940,Movie,10 jours en or,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",France,"July 1, 2017",2012,TV-PG,97 min,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives."
80158301,TV Show,46,Serdar Akar,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,"July 1, 2017",2016,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect."
70290905,Movie,A 2nd Chance,Clay Glen,"Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley, Carmel Johnson, Alanah Gilbert, Hapi Murphy, Lilly Blacker, Julie Kay Lumasag, Elysia Markou",Australia,"July 1, 2017",2011,PG,95 min,"Children & Family Movies, Dramas, Sports Movies","A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team."
80156950,TV Show,Against the Tide,,"Christopher Lee, Rui En, Desmond Tan, Zheng Geping, Zhang Zhenhuan, Paige Chua, Xu Bin, Carrie Wong",Singapore,"July 1, 2017",2014,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.
80167699,Movie,Albion: The Enchanted Stallion,Castille Landon,"Daniel Sharman, Jennifer Morrison, Debra Messing, Stephen Dorff, John Cleese, Liam McIntyre, Richard Kind, Avery Arendes, Castille Landon","United States, Bulgaria","July 1, 2017",2016,TV-PG,106 min,Children & Family Movies,"After a magical horse transports her to a fantasy world ruled by an evil general, a brave girl sets out to save the land once and for all."
80158390,Movie,Amrapali,Lekh Tandon,"Vyjayantimala, Sunil Dutt, Prem Nath, Bipin Gupta, Gajanan Jagirdar, Zul Vellani, K.N. Singh, Randhir",India,"July 1, 2017",1966,TV-PG,116 min,"Dramas, International Movies, Music & Musicals","In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves."
70294800,TV Show,Barbie Life in the Dreamhouse,,"Kate Higgins, Sean Hankinson, Haviland Stillwell, Paula Rhodes, Charlie Bodin, Laura Gerow, Katie Crown, Nakia Burrise, Tara Sands, Ashlyn Selich",United States,"July 1, 2017",2012,TV-G,1 Season,"Kids' TV, TV Comedies",Join blond icon Barbie and her fabulous friends as their behind-the-scenes adventures are revealed in this animated Web series.
80184770,Movie,Black Snow,Martin Hodara,"Ricardo Darín, Leonardo Sbaraglia, Laia Costa, Federico Luppi, Dolores Fonzi, Andrés Herrera","Argentina, Spain","July 1, 2017",2017,TV-MA,91 min,"Dramas, International Movies, Thrillers",An old tragedy and lingering animosity erupt when a man returns to Patagonia to convince his estranged brother to sell the family's isolated property.
80156992,TV Show,Breakout,,"Jeanette Aw, Elvin Ng, Zhou Ying, Christopher Lee, Dai Xiangyu, Guo Liang",,"July 1, 2017",2010,TV-14,1 Season,"International TV Shows, TV Dramas","After losing her family in a suspicious car crash, a woman awakens from a 13-year coma determined to expose the truth about the long-ago tragedy."
80191358,Movie,Bruno and Boots: The Wizzle War,Vivieno Caldinelli,"Jonny Gray, Callan Potter, Matt Baram, Caroline Rhea, Kiana Madeira",Canada,"July 1, 2017",2017,TV-PG,90 min,"Children & Family Movies, Comedies","Fed up with weird dress codes and wacky punishments, the students of neighboring schools face off against two recently hired oddball authoritarians."
80118532,TV Show,Deep Water,,"Noah Taylor, Yael Stone, Jeremy Lindsay Taylor, Danielle Cormack, Ben Oxenbould, Dan Spielman, Craig McLachlan, William McInnes, Olivia McNamara, John Brumpton, Simon Burke, Simon Elrahi, Victoria Haralabidou, Renee Lim, Julian Maroun, George Harrison Xanthis",Australia,"July 1, 2017",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier."
80190946,Movie,Hans Teeuwen: Real Rancour,Doesjka van Hoogdalem,Hans Teeuwen,Netherlands,"July 1, 2017",2018,TV-MA,86 min,Stand-Up Comedy,"Comedian Hans Teeuwen rebels against political correctness, proclaims himself Britain's moral leader and takes on Donald Trump."
80107948,Movie,Here Alone,Rod Blackhurst,"Lucy Walters, Gina Piersanti, Adam David Thompson, Shane West, Ryken A. Whitfield, Abel McSurely Bradshaw, Rebecca Spiro",United States,"July 1, 2017",2016,TV-MA,97 min,Horror Movies,"When she finally encounters two other survivors, a woman alone in a world decimated by a zombie epidemic struggles to trust her new companions."
80094964,Movie,Ho Mann Jahaan,Asim Raza,"Adeel Hussain, Mahira Khan, Sheheryar Munawar, Sonya Jehan, Bushra Ansari, Nimra Bucha, Arshad Mahmud, Jamal Shah",Pakistan,"July 1, 2017",2015,TV-PG,170 min,"Dramas, International Movies, Romantic Movies","Three friends in modern-day Karachi navigate their post-college lives, while struggling to balance their passion for music with familial obligations."
80158481,Movie,Lal Patthar,Sushil Majumdar,"Raaj Kumar, Hema Malini, Rakhee Gulzar, Vinod Mehra, Asit Kumar Sen, Paintal, Dulari, Chandramohan, Sujata Bakshi, Meena T.",India,"July 1, 2017",1971,TV-PG,153 min,"Classic Movies, Dramas, International Movies","A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman."
80177684,TV Show,Learning Songs by Little Baby Bum: Nursery Rhyme Friends,,"Chloe Marsden, Aaron Marsden, María Esnoz",,"July 1, 2017",2015,TV-Y,1 Season,"British TV Shows, Kids' TV","Simple songs mix with colorful animation to teach youngsters about concepts such as animals, vehicles, numbers, colors and more."
70299811,Movie,Liar's Dice,Geetu Mohandas,"Nawazuddin Siddiqui, Geetanjali Thapa, Manya Gupta, Murari Kumar",India,"July 1, 2017",2013,TV-MA,104 min,"Dramas, Independent Movies, International Movies",A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.
80116687,TV Show,Momo Salon,,"Lizzy, Jung-min Park, Sang-hee Lee",South Korea,"July 1, 2017",2014,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","An aspiring hair stylist opens her own salon. It turns into a mail-holding hub for busy neighbors, but she seizes the chance to promote her business."
80157457,TV Show,Mystic Whispers,,"Romeo Tan, Sheila Sim, Yuan Shuai, Aloysius Pang",,"July 1, 2017",2014,TV-14,1 Season,"International TV Shows, TV Dramas, TV Horror","After a car accident enables a young woman to hear mysterious sounds, she meets a mortician. Together, they listen to ghosts and try to help them."
70229498,Movie,Players,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Vinod Khanna, Abhishek Bachchan, Bobby Deol, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johnny Lever, Shweta Bhardwaj",India,"July 1, 2017",2012,TV-14,162 min,"Action & Adventure, International Movies","Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it."
20257393,Movie,Professor,Lekh Tandon,"Shammi Kapoor, Kalpana, Lalita Pawar, Parveen Choudhary, Salim, Pratima Devi, Rashid Khan, Bir Sakuja, Bela Bose, Ratnamala",India,"July 1, 2017",1962,TV-PG,163 min,"Comedies, Dramas, International Movies",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.
80159899,TV Show,Spice Up,,"Jeanette Aw, Patrick Lee, Huang Qi Ming, Sora Ma, Hong Huifang, Xu Bin, Chen Shucheng",,"July 1, 2017",2014,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A spoiled young woman steps in to save her family’s restaurant with her cooking and tasting skills while balancing her complicated love life.
